survey,country,weight,id,econ_sit,children_betteroff,satisfied_democracy,fav_us,fav_china,fav_eu,fav_un,fav_nato,fav_russia,fav_brazil,fav_india,fav_bangladesh,fav_srilanka,fav_pakistan,fav_japan,fav_lula,fav_bolsonaro,fav_netanyahu,fav_lapid,fav_bengvir,fav_gantz,fav_gallant,fav_abbas,fav_smotrich,fav_erdogan,fav_kilicdaroglu,fav_pope,partyfav_argentina_cambiemos,partyfav_argentina_fdt,partyfav_argentina_avanza,partyfav_australia_labor,partyfav_australia_liberal,partyfav_australia_greens,partyfav_australia_onenation,partyfav_bangladesh_bal,partyfav_bangladesh_bnp,partyfav_bangladesh_jp,partyfav_brazil_pl,partyfav_brazil_pt,partyfav_brazil_mdb,partyfav_brazil_republicans,partyfav_brazil_pp,partyfav_canada_lib,partyfav_canada_cons,partyfav_canada_ndp,partyfav_chile_rn,partyfav_chile_udi,partyfav_chile_ps,partyfav_chile_cp,partyfav_chile_rp,partyfav_colombia_clp,partyfav_colombia_ga,partyfav_colombia_dc,partyfav_colombia_rc,partyfav_colombia_ccp,partyfav_france_lesrepublicains,partyfav_france_socialistparty,partyfav_france_frontnational,partyfav_france_enmarche,partyfav_france_insoumise,partyfav_germany_cdu,partyfav_germany_spd,partyfav_germany_afd,partyfav_germany_greens,partyfav_germany_fdp,partyfav_ghana_npp,partyfav_ghana_ndc,partyfav_ghana_ppp,partyfav_ghana_pnc,partyfav_ghana_cpp,partyfav_greece_syriza,partyfav_greece_newdemocracy,partyfav_greece_demcoal,partyfav_greece_solution,partyfav_greece_spartans,partyfav_greece_communist,partyfav_hungary_fidesz,partyfav_hungary_mszp,partyfav_hungary_jobbik,partyfav_hungary_dk,partyfav_india_bjp,partyfav_india_inc,partyfav_indonesia_pdip,partyfav_indonesia_gerindra,partyfav_indonesia_golkar,partyfav_indonesia_demokrat,partyfav_indonesia_pkb,partyfav_israel_likud,partyfav_israel_yeshatid,partyfav_israel_raam,partyfav_israel_unity,partyfav_israel_rz,partyfav_italy_forza,partyfav_italy_demparty,partyfav_italy_5star,partyfav_italy_leganord,partyfav_italy_fdi,partyfav_japan_ldp,partyfav_japan_cdp,partyfav_japan_komeito,partyfav_japan_ishin,partyfav_kenya_jubilee,partyfav_kenya_uda,partyfav_kenya_odm,partyfav_malaysia_ph,partyfav_malaysia_bn,partyfav_malaysia_pas,partyfav_malaysia_pn,partyfav_mexico_pan,partyfav_mexico_pri,partyfav_mexico_morena,partyfav_mexico_prd,partyfav_mexico_mc,partyfav_netherlands_vvd,partyfav_netherlands_labour,partyfav_netherlands_pvv,partyfav_netherlands_nsc,partyfav_netherlands_dem66,partyfav_nigeria_apc,partyfav_nigeria_pdp,partyfav_nigeria_apga,partyfav_nigeria_lp,partyfav_peru_pf,partyfav_peru_ap,partyfav_peru_fp,partyfav_peru_juntos,partyfav_philippines_liberal,partyfav_philippines_npc,partyfav_philippines_pdplaban,partyfav_philippines_nacionalista,partyfav_philippines_laka,partyfav_poland_pis,partyfav_poland_po,partyfav_poland_sld,partyfav_singapore_pap,partyfav_singapore_wp,partyfav_safrica_anc,partyfav_safrica_da,partyfav_safrica_eff,partyfav_spain_pp,partyfav_spain_psoe,partyfav_spain_podemos,partyfav_spain_vox,partyfav_srilanka_slfp,partyfav_srilanka_sjb,partyfav_srilanka_unp,partyfav_srilanka_puf,partyfav_srilanka_slpp,partyfav_srilanka_jvp,partyfav_sweden_sap,partyfav_sweden_moderateparty,partyfav_sweden_swedendems,partyfav_thailand_pp,partyfav_thailand_ptp,partyfav_thailand_dp,partyfav_thailand_mfp,partyfav_turkey_akp,partyfav_turkey_chp,partyfav_turkey_mhp,partyfav_turkey_iyi,partyfav_turkey_ysp,partyfav_uk_conservative,partyfav_uk_labour,partyfav_uk_libdems,partyfav_uk_brexit,fav_mazen,fav_barghouti,confid_biden,confid_biden_dk,confid_trump,confid_trump_dk,confid_xi,confid_xi_dk,confid_putin,confid_putin_dk,confid_macron,confid_macron_dk,confid_zelenskyy,confid_zelenskyy_dk,confid_lula,uspres_econ,uspres_climate,uspres_china,uspres_rusukr,uspres_isrhamas,prob_rich_poor,prob_gen_unequal,prob_racediscrim,prob_reldiscrim,prob_misinformation,press_freedom,free_speech,internet_freedom,free_press,free_say,free_internet,inequality_merit,inequality_opp,inequality_discrim,inequality_automation,inequality_edu,inequality_rich,econsys_reform,trust_people,trust_gss,religion_combined,religion_christian,religion_none,religion_israel_jewish,christdenom_pent,prot_church,religion_switch,religion_switch_jewish,religion_import,attend,pray_freq,pray_salah,god,aftdth,spirenergy_nature,spirenergy_objects,spirenergy_animals,believe_spells,believe_spirits,believe_reinc,practice_fast,practice_wear,practice_future,practice_candles,spirworld,relimpact_society,relimpact_tolerance,relimpact_superstition,nationality_relig1,nationality_relig2,nationality_born,nationality_custom,nationality_lang,nationality_tamil,leaderrel_shared,leaderrel_strong,leaderrel_stands,reltextinfl,relconf,reltextinfl2,relconf2,rellawinftoday,rellawinftoday2,f2flaw_muslim,f2flaw_jew,relten,pope_change,cchurch_priestsmarry,cchurch_priestswomen,cchurch_birthcontrol,cchurch_ssm,cchurch_communion,usdemocracy_example,brderjob,brderjob_mex,china_influ_econ,china_influ_econ2,china_influ_econ2_aus,cco_economy,cco_workers,cco_environment,china_worldstability,india_worldstability,japan_worldstability,aus_worldstability,us_worldstability,china_disputes,china_disputes_aus,growinflu_brazil,powerful_brazil,bestage_marry,bestage_marry_aus,bestage_child,bestage_child_aus,bestage_house,bestage_house_aus,bestage_retire,bestage_retire_aus,child_gay,child_marryrace,child_marryreligion,child_move,child_police,child_teacher,value_law,value_work,value_elders,value_refugees,value_tol,value_equality,value_gender,eval_law,eval_work,eval_elders,eval_refugees,eval_tol,eval_equality,eval_gender,diversity_country4,diversity_country3,conflict_parties,conflict_urbanity,conflict_ethnic,conflict_religion,polsys_directdemocracy,polsys_republic,polsys_autocracy,polsys_technocracy,polsys_junta,influ_mil,influ_news,influ_courts,influ_courts_isr,influ_relleaders,influ_police,influ_companies,influ_banks,influ_social,lula_democracy,trust_gov,future_polsys,future_security,future_relpeace,future_peace,respect_important,respect_current,isgz_respns,isrhamas_success,govern_gaza,roleconf_us,roleconf_qatar,roleconf_eu,roleconf_un,roleconf_sa,roleconf_egypt,roleconf_tunisia,biden_favorisrpal,jewish_settlements,isr_pal_coexist,isr_pal_coexist2,isgz_big,isgz_rslv,isgz_violence_jew,isgz_violence_arab,conflict_secular,conflict_ethnic_isr,conflict_ideo,antisemitism_common,antisemitism_change,islamophobia_common,islamophobia_change,fair_past_election,earthquake_prep,turkey_eu_member,nato_security,ukr_support,tol_practicing_muslim,tol_practicing_jew,tol_practicing_christian,tol_nonpracticing_muslim,tol_nonpracticing_jew,tol_nonpracticing_christian,tol_muslim,tol_jew,tol_christian,ssdo_priorities,ssdo_push,ssdo_ideal,ssdo_dominate,gender,gender_australia,age,d_age_argentina,d_age_australia,d_age_bangladesh,d_age_brazil,d_age_canada,d_age_chile,d_age_colombia,d_age_france,d_age_germany,d_age_ghana,d_age_greece,d_age_hungary,d_age_india,d_age_indonesia,d_age_israel,d_age_italy,d_age_japan,d_age_kenya,d_age_malaysia,d_age_mexico,d_age_netherlands,d_age_nigeria,d_age_peru,d_age_philippines,d_age_poland,d_age_safrica,d_age_singapore,d_age_skorea,d_age_spain,d_age_srilanka,d_age_sweden,d_age_thailand,d_age_tunisia,d_age_turkey,d_age_uk,d_educ_argentina,d_educ_australia,d_educ_bangladesh,d_educ_brazil,d_educ_canada,d_educ_chile,d_educ_colombia,d_educ_france,d_educ_germany,d_educ_germany_vocational,d_educ_ghana,d_educ_greece,d_educ_hungary,d_educ_india,d_educ_indonesia,d_educ_israel,d_educ_israel_years,d_educ_israel_vocational,d_educ_italy,d_educ_japan,d_educ_kenya,d_educ_malaysia,d_educ_mexico,d_educ_netherlands,d_educ_nigeria,d_educ_peru,d_educ_philippines,d_educ_poland,d_educ_singapore,d_educ_safrica,d_educ_skorea,d_educ_spain,d_educ_srilanka,d_educ_sweden,d_educ_thailand,d_educ_tunisia,d_educ_turkey,d_educ_uk,d_class,d_income_argentina,d_income2_argentina,d_income_bangladesh,d_income2_bangladesh,d_income_brazil,d_income2_brazil,d_income_canada,d_income2_canada,d_income_chile,d_income2_chile,d_income_colombia,d_income2_colombia,d_income_france,d_income2_france,d_income_germany,d_income2_germany,d_income_ghana,d_income2_ghana,d_income_greece,d_income2_greece,d_income_hungary,d_income2_hungary,d_income_india,d_income2_india,d_income_indonesia,d_income2_indonesia,d_income_israel,d_income2_israel,d_income_italy,d_income2_italy,d_income_japan,d_income2_japan,d_income_kenya,d_income2_kenya,d_income_malaysia,d_income2_malaysia,d_income_mexico,d_income2_mexico,d_income_netherlands,d_income2_netherlands,d_income_nigeria,d_income2_nigeria,d_income_peru,d_income2_peru,d_income_philippines,d_income2_philippines,d_income_poland,d_income2_poland,d_income_singapore,d_income2_singapore,d_income_safrica,d_income2_safrica,d_income_skorea,d_income2_skorea,d_income_spain,d_income2_spain,d_income_srilanka,d_income2_srilanka,d_income_sweden,d_income2_sweden,d_income_thailand,d_income2_thailand,d_income_tunisia,d_income2_tunisia,d_income_turkey,d_income2_turkey,d_income_uk_cat,d_income_uk_year,d_income_uk_month,d_income_uk_week,d_income2_uk,d_ethnicity_brazil,d_ethnicity_israel,d_ethnicity_safrica,d_identity_singapore,hhpeople,adults,d_ptyid_proximity_argentina,d_ptyid_proximity_australia,d_ptyid_proximity_bangladesh,d_ptyid_proximity_brazil,d_ptyid_proximity_canada,d_ptyid_proximity_chile,d_ptyid_proximity_colombia,d_ptyid_proximity_france,d_ptyid_proximity_germany,d_ptyid_proximity_ghana,d_ptyid_proximity_greece,d_ptyid_proximity_hungary,d_ptyid_proximity_india,d_ptyid_proximity_indonesia,d_ptyid_proximity_israel,d_ptyid_proximity_italy,d_ptyid_proximity_japan,d_ptyid_proximity_kenya,d_ptyid_proximity_malaysia,d_ptyid_proximity_mexico,d_ptyid_proximity_netherlands,d_ptyid_proximity_nigeria,d_ptyid_proximity_peru,d_ptyid_proximity_philippines,d_ptyid_proximity_poland,d_ptyid_proximity_singapore,d_ptyid_proximity_safrica,d_ptyid_proximity_spain,d_ptyid_proximity_srilanka,d_ptyid_proximity_sweden,d_ptyid_proximity_thailand,d_ptyid_proximity_turkey,d_ptyid_proximity_uk,d_ptyid_proximity_lean,d_ptylean_argentina,d_ptylean_australia,d_ptylean_bangladesh,d_ptylean_brazil,d_ptylean_canada,d_ptylean_chile,d_ptylean_colombia,d_ptylean_france,d_ptylean_germany,d_ptylean_ghana,d_ptylean_greece,d_ptylean_hungary,d_ptylean_india,d_ptylean_indonesia,d_ptylean_israel,d_ptylean_italy,d_ptylean_japan,d_ptylean_kenya,d_ptylean_malaysia,d_ptylean_mexico,d_ptylean_netherlands,d_ptylean_nigeria,d_ptylean_peru,d_ptylean_philippines,d_ptylean_poland,d_ptylean_singapore,d_ptylean_safrica,d_ptylean_spain,d_ptylean_srilanka,d_ptylean_sweden,d_ptylean_thailand,d_ptylean_turkey,d_ptylean_uk,political_scale2,political_scale3,political_scale_aus,home_phone,working_cell,social_net,post_issues,post_conflict,censor_graphic,censor_critic,censor_civilian,censor_violence,censor_hamas,region_canada,region_france,region_germany,region_greece,region_hungary,region_italy,region_netherlands,region_poland,region_spain,region_sweden,region_uk,region_australia,region_bangladesh,region_india,region_indonesia,region_japan,region_malaysia,region_philippines,region_singapore,region_skorea,region_srilanka,region_thailand,region_israel,reg_eth_israel,region_tunisia,region_turkey,region_ghana,region_kenya,region_nigeria,region_safrica,region_argentina,region_brazil,region_chile,region_colombia,region_mexico,region_peru,urbanicity,popsize_chile,qdate_s,qdate_e,phone_sample
1202401,2,1.55526702997833,8000022,4,2,2,1,3,2,3,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,2,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,3, ,4, ,4, ,3, ,3, , ,3,2,2,2,2,1,3,3,3,2,1,1,2,2,3,2,2,1,3,2,2,2,3, , ,99,99,99, , , ,2, ,2,6,5, ,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2, , , , , ,2,2,2,2,1, , ,3, , , , , , , , , , ,2, , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , ,99,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , ,2, , , , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4/17/2024,4/17/2024,1
1202401,2,1.20206887319833,8000093,3,2,8,3,3,2,2,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,4, ,4, ,4, ,3, ,2, , ,3,3,2,3,8,1,2,1,1,1,1,1,1,2,2,2,2,2,8,2,2,1,3, , ,7,99,3, , , ,1, ,4,6,7, ,2,3,2,2,2,2,2,2,2,1,2,2,2,9,8,1,4, , , , , ,4,4,4,4, , , ,2, , , , , , , , , , ,2, , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,99,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4, , , , ,99, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, , , ,1, , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4/21/2024,4/21/2024,1
1202401,2,.845797364400903,8000219,3,1,2,3,3,8,2,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,4, ,4, ,3, ,2, ,2, , ,8,2,2,2,2,1,3,3,1,3,1,1,1,2,1,1,1,1,1,1,1,1,2, , ,1,1,99, , , ,2, ,2,5,1, ,1,1,1,1,1,2,2,1,1,1,2,1,2,1,2,2,1, , , , , ,4,4,1,2,2, , ,3, , , , , , , , , , ,1, , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , ,97, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, , , ,1, , , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1/29/2024,1/29/2024,1
1202401,2,1.70691210123152,8000317,3,2,2,2,3,2,3,2,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,4, ,3, ,4, ,3, ,3, , ,3,2,2,2,2,1,2,2,2,2,1,1,1,2,1,2,2,3,3,2,2,2,2, , ,1,2,99, , , ,2, ,2,4,5, ,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,2,3, , , , , ,3,2,3,3, , , ,3, , , , , , , , , , ,2, , ,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , ,1, , , , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1/31/2024,1/31/2024,1
1202401,2,1.25606729680592,8000358,2,2,2,4,2,8,2,2,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,4, ,3, ,4, ,2, ,1, , ,3,3,3,2,3,2,1,2,1,2,2,2,3,1,2,2,1,2,2,2,1,1,3, , ,1,2,99, , , ,2, ,2,5,6, ,1,1,1,2,1,2,1,2,2,2,2,2,1,1,1,2,2, , , , , ,3,2,2,4, , , ,3, , , , , , , , , , ,2, , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , ,99, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , ,1, , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2/10/2024,2/10/2024,1
1202401,2,.442532838045043,8000362,8,1,2,2,4,1,1,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,4, ,4, ,4, ,1, ,1, , ,1,2,1,1,4,1,1,1,2,2,1,2,1,1,2,1,2,1,4,2,1,2,2, , ,1,1,99, , , ,2, ,3,5,6, ,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,4, , , , , ,4,3,2,4, , , ,3, , , , , , , , , , ,2, , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4/18/2024,4/18/2024,1
1202401,2,.321626716265059,8000445,3,2,3,2,4,2,2,2,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,4, ,4, ,4, ,2, ,1, , ,2,8,8,2,8,1,1,1,1,2,1,1,2,2,1,1,8,2,1,1,2,1,3, , ,1,99,99, , , ,1, ,1,2,1, ,1,1,2,1,8,2,2,1,1,1,2,2,1,1,1,2,1, , , , , ,3,4,3,2,8, , ,2, , , , , , , , , , ,2, , ,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,86, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , ,99,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, , , ,2, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4/18/2024,4/18/2024,1
1202401,2,.345836412158108,8000471,4,2,3,4,4,2,2,2,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,4, ,4, ,4, ,3, ,1, , ,3,8,3,2,2,1,1,1,1,1,1,3,2,1,1,1,4,1,1,1,1,1,3, , ,7,99,2, , , ,1, ,4,7,7, ,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4, , , , , ,4,4,2,4, , , ,3, , , , , , , , , , ,2, , ,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , ,1, , , , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2/5/2024,2/5/2024,1
1202401,2,.614671567809569,8000712,4,2,4,1,3,3,8,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,2,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,1, ,4, ,3, ,3, ,4, , ,4,4,4,4,4,2,4,2,3,2,1,1,1,2,3,2,3,4,4,3,2,4,1, , ,99,99,99, , , ,1, ,2,6,5, ,1,8,1,2,1,2,1,1,2,2,2,1,1,1,1,1,2, , , , , ,4,4,4,3, , , ,8, , , , , , , , , , ,2, , ,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8, , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , ,2, , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4/20/2024,4/20/2024,1
1202401,2,1.17887938954339,8000790,3,2,3,3,3,8,2,8,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,4, ,4, ,4, ,2, ,2, , ,2,2,2,2,2,2,3,4,4,3,1,1,1,1,1,1,1,2,3,3,1,2,2, , ,1,1,99, , , ,2, ,1,5,2, ,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,4, , , , , ,3,3,2,2,2, , ,3, , , , , , , , , , ,2, , ,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , ,99,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2/5/2024,2/5/2024,1
